
Train set: Average loss: 0.0016, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0026, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0031, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 413/425 (97%)


 The epoch is 140, average recall: 0.6552, average precision: 0.6909,average F1: 0.6726, average accuracy: 0.6864, average AUC: 0.7830
Train set: Average loss: 0.0021, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0011, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0019, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


 The epoch is 150, average recall: 0.7069, average precision: 0.6833,average F1: 0.6949, average accuracy: 0.6949, average AUC: 0.7917
Train set: Average loss: 0.0038, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0033, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0043, Accuracy: 406/425 (96%)


Train set: Average loss: 0.0052, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0026, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0026, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0017, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0019, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


 The epoch is 160, average recall: 0.6552, average precision: 0.7037,average F1: 0.6786, average accuracy: 0.6949, average AUC: 0.8046
Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 421/425 (99%)


 The epoch is 170, average recall: 0.7069, average precision: 0.7069,average F1: 0.7069, average accuracy: 0.7119, average AUC: 0.8011
Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0031, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


 The epoch is 180, average recall: 0.6552, average precision: 0.7037,average F1: 0.6786, average accuracy: 0.6949, average AUC: 0.7997
Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0028, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0015, Accuracy: 418/425 (98%)


 The epoch is 190, average recall: 0.6552, average precision: 0.7170,average F1: 0.6847, average accuracy: 0.7034, average AUC: 0.7816
Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0024, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0019, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0045, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0036, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0030, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0034, Accuracy: 415/425 (98%)


